mediaID,deploymentID,captureMethod,timestamp,filePath,filePublic,fileName,fileMediatype,exifData,favorite,mediaComments
5mp_010421_17_34_03_635161,,timeLapse,2021-04-01T17:34:04+02:00,media/5mp_010421_17_34_03_635161.jpg,True,5mp_010421_17_34_03_635161.jpg,image/jpeg,"{""ImageWidth"": 1280, ""ImageLength"": 960, ""ResolutionUnit"": 2, ""ExifOffset"": 192, ""Make"": ""RaspberryPi"", ""Model"": ""RP_ov5647"", ""DateTime"": ""2021:04:01 17:34:04"", ""YCbCrPositioning"": 1, ""DateTimeOriginal"": ""2021:04:01 17:34:04"", ""DateTimeDigitized"": ""2021:04:01 17:34:04"", ""MeteringMode"": 2, ""Flash"": 0, ""ColorSpace"": 1, ""ExifImageWidth"": 1280, ""ExifInteroperabilityOffset"": 908, ""ExifImageHeight"": 960, ""ExposureProgram"": 3, ""ISOSpeedRatings"": 320, ""ExposureMode"": 0, ""WhiteBalance"": 0}",,
5mp_010421_17_35_58_005928,,timeLapse,2021-04-01T17:35:58+02:00,media/5mp_010421_17_35_58_005928.jpg,True,5mp_010421_17_35_58_005928.jpg,image/jpeg,"{""ImageWidth"": 1280, ""ImageLength"": 960, ""ResolutionUnit"": 2, ""ExifOffset"": 192, ""Make"": ""RaspberryPi"", ""Model"": ""RP_ov5647"", ""DateTime"": ""2021:04:01 17:35:58"", ""YCbCrPositioning"": 1, ""DateTimeOriginal"": ""2021:04:01 17:35:58"", ""DateTimeDigitized"": ""2021:04:01 17:35:58"", ""MeteringMode"": 2, ""Flash"": 0, ""ColorSpace"": 1, ""ExifImageWidth"": 1280, ""ExifInteroperabilityOffset"": 908, ""ExifImageHeight"": 960, ""ExposureProgram"": 3, ""ISOSpeedRatings"": 320, ""ExposureMode"": 0, ""WhiteBalance"": 0}",,
5mp_010421_17_36_44_098033,,timeLapse,2021-04-01T17:36:44+02:00,media/5mp_010421_17_36_44_098033.jpg,True,5mp_010421_17_36_44_098033.jpg,image/jpeg,"{""ImageWidth"": 1280, ""ImageLength"": 960, ""ResolutionUnit"": 2, ""ExifOffset"": 192, ""Make"": ""RaspberryPi"", ""Model"": ""RP_ov5647"", ""DateTime"": ""2021:04:01 17:36:44"", ""YCbCrPositioning"": 1, ""DateTimeOriginal"": ""2021:04:01 17:36:44"", ""DateTimeDigitized"": ""2021:04:01 17:36:44"", ""MeteringMode"": 2, ""Flash"": 0, ""ColorSpace"": 1, ""ExifImageWidth"": 1280, ""ExifInteroperabilityOffset"": 908, ""ExifImageHeight"": 960, ""ExposureProgram"": 3, ""ISOSpeedRatings"": 320, ""ExposureMode"": 0, ""WhiteBalance"": 0}",,
5mp_010421_17_37_22_071766,,timeLapse,2021-04-01T17:37:22+02:00,media/5mp_010421_17_37_22_071766.jpg,True,5mp_010421_17_37_22_071766.jpg,image/jpeg,"{""ImageWidth"": 1280, ""ImageLength"": 960, ""ResolutionUnit"": 2, ""ExifOffset"": 192, ""Make"": ""RaspberryPi"", ""Model"": ""RP_ov5647"", ""DateTime"": ""2021:04:01 17:37:22"", ""YCbCrPositioning"": 1, ""DateTimeOriginal"": ""2021:04:01 17:37:22"", ""DateTimeDigitized"": ""2021:04:01 17:37:22"", ""MeteringMode"": 2, ""Flash"": 0, ""ColorSpace"": 1, ""ExifImageWidth"": 1280, ""ExifInteroperabilityOffset"": 908, ""ExifImageHeight"": 960, ""ExposureProgram"": 3, ""ISOSpeedRatings"": 320, ""ExposureMode"": 0, ""WhiteBalance"": 0}",,
5mp_010421_17_37_33_690273,,timeLapse,2021-04-01T17:37:34+02:00,media/5mp_010421_17_37_33_690273.jpg,True,5mp_010421_17_37_33_690273.jpg,image/jpeg,"{""ImageWidth"": 1280, ""ImageLength"": 960, ""ResolutionUnit"": 2, ""ExifOffset"": 192, ""Make"": ""RaspberryPi"", ""Model"": ""RP_ov5647"", ""DateTime"": ""2021:04:01 17:37:34"", ""YCbCrPositioning"": 1, ""DateTimeOriginal"": ""2021:04:01 17:37:34"", ""DateTimeDigitized"": ""2021:04:01 17:37:34"", ""MeteringMode"": 2, ""Flash"": 0, ""ColorSpace"": 1, ""ExifImageWidth"": 1280, ""ExifInteroperabilityOffset"": 908, ""ExifImageHeight"": 960, ""ExposureProgram"": 3, ""ISOSpeedRatings"": 320, ""ExposureMode"": 0, ""WhiteBalance"": 0}",,
5mp_010421_17_37_34_981064,,timeLapse,2021-04-01T17:37:35+02:00,media/5mp_010421_17_37_34_981064.jpg,True,5mp_010421_17_37_34_981064.jpg,image/jpeg,"{""ImageWidth"": 1280, ""ImageLength"": 960, ""ResolutionUnit"": 2, ""ExifOffset"": 192, ""Make"": ""RaspberryPi"", ""Model"": ""RP_ov5647"", ""DateTime"": ""2021:04:01 17:37:35"", ""YCbCrPositioning"": 1, ""DateTimeOriginal"": ""2021:04:01 17:37:35"", ""DateTimeDigitized"": ""2021:04:01 17:37:35"", ""MeteringMode"": 2, ""Flash"": 0, ""ColorSpace"": 1, ""ExifImageWidth"": 1280, ""ExifInteroperabilityOffset"": 908, ""ExifImageHeight"": 960, ""ExposureProgram"": 3, ""ISOSpeedRatings"": 320, ""ExposureMode"": 0, ""WhiteBalance"": 0}",,
5mp_010421_17_37_36_300696,,timeLapse,2021-04-01T17:37:36+02:00,media/5mp_010421_17_37_36_300696.jpg,True,5mp_010421_17_37_36_300696.jpg,image/jpeg,"{""ImageWidth"": 1280, ""ImageLength"": 960, ""ResolutionUnit"": 2, ""ExifOffset"": 192, ""Make"": ""RaspberryPi"", ""Model"": ""RP_ov5647"", ""DateTime"": ""2021:04:01 17:37:36"", ""YCbCrPositioning"": 1, ""DateTimeOriginal"": ""2021:04:01 17:37:36"", ""DateTimeDigitized"": ""2021:04:01 17:37:36"", ""MeteringMode"": 2, ""Flash"": 0, ""ColorSpace"": 1, ""ExifImageWidth"": 1280, ""ExifInteroperabilityOffset"": 908, ""ExifImageHeight"": 960, ""ExposureProgram"": 3, ""ISOSpeedRatings"": 320, ""ExposureMode"": 0, ""WhiteBalance"": 0}",,
5mp_010421_17_37_38_901514,,timeLapse,2021-04-01T17:37:39+02:00,media/5mp_010421_17_37_38_901514.jpg,True,5mp_010421_17_37_38_901514.jpg,image/jpeg,"{""ImageWidth"": 1280, ""ImageLength"": 960, ""ResolutionUnit"": 2, ""ExifOffset"": 192, ""Make"": ""RaspberryPi"", ""Model"": ""RP_ov5647"", ""DateTime"": ""2021:04:01 17:37:39"", ""YCbCrPositioning"": 1, ""DateTimeOriginal"": ""2021:04:01 17:37:39"", ""DateTimeDigitized"": ""2021:04:01 17:37:39"", ""MeteringMode"": 2, ""Flash"": 0, ""ColorSpace"": 1, ""ExifImageWidth"": 1280, ""ExifInteroperabilityOffset"": 908, ""ExifImageHeight"": 960, ""ExposureProgram"": 3, ""ISOSpeedRatings"": 320, ""ExposureMode"": 0, ""WhiteBalance"": 0}",,
5mp_010421_17_37_45_219545,,timeLapse,2021-04-01T17:37:45+02:00,media/5mp_010421_17_37_45_219545.jpg,True,5mp_010421_17_37_45_219545.jpg,image/jpeg,"{""ImageWidth"": 1280, ""ImageLength"": 960, ""ResolutionUnit"": 2, ""ExifOffset"": 192, ""Make"": ""RaspberryPi"", ""Model"": ""RP_ov5647"", ""DateTime"": ""2021:04:01 17:37:45"", ""YCbCrPositioning"": 1, ""DateTimeOriginal"": ""2021:04:01 17:37:45"", ""DateTimeDigitized"": ""2021:04:01 17:37:45"", ""MeteringMode"": 2, ""Flash"": 0, ""ColorSpace"": 1, ""ExifImageWidth"": 1280, ""ExifInteroperabilityOffset"": 908, ""ExifImageHeight"": 960, ""ExposureProgram"": 3, ""ISOSpeedRatings"": 320, ""ExposureMode"": 0, ""WhiteBalance"": 0}",,
5mp_010421_17_37_52_684992,,timeLapse,2021-04-01T17:37:53+02:00,media/5mp_010421_17_37_52_684992.jpg,True,5mp_010421_17_37_52_684992.jpg,image/jpeg,"{""ImageWidth"": 1280, ""ImageLength"": 960, ""ResolutionUnit"": 2, ""ExifOffset"": 192, ""Make"": ""RaspberryPi"", ""Model"": ""RP_ov5647"", ""DateTime"": ""2021:04:01 17:37:53"", ""YCbCrPositioning"": 1, ""DateTimeOriginal"": ""2021:04:01 17:37:53"", ""DateTimeDigitized"": ""2021:04:01 17:37:53"", ""MeteringMode"": 2, ""Flash"": 0, ""ColorSpace"": 1, ""ExifImageWidth"": 1280, ""ExifInteroperabilityOffset"": 908, ""ExifImageHeight"": 960, ""ExposureProgram"": 3, ""ISOSpeedRatings"": 320, ""ExposureMode"": 0, ""WhiteBalance"": 0}",,
